Noun,Verb,Replacement
පඩිය,තල්ලු කරන්න,තරප්පු
පඩිය,ඉදගන්න,තරප්පු
පඩිය,ඉස්සෙන්න,තරප්පු
පඩිය,උස්සන්න,තරප්පු
පඩිය,තලන්න,තරප්පු
පඩිය,ලිස්සන්න,තරප්පු
පඩිය,පසුකරන්න,තරප්පු
පඩිය,ජීවත් වෙන්න,වැටුප
පඩිය,ගෙවාගන්න,වැටුප
කොළ,කඩන්න,පත්‍ර
කොළ,කන්න,පත්‍ර
කොළ,මලවන්න,පත්‍ර
කොළ,ඉරන්න,පත්‍ර
කොළ,උයන්න,පත්‍ර
කොළ,ලියන්න,කඩදාසි
කොළ,අදින්න,කඩදාසි
කොළ,ඉරන්න,කඩදාසි
කොළ,විසිකරන්න,කඩදාසි
කොළ,කරන්න,කඩදාසි
ශීර්ෂය,නගින්න,මුදුන
ශීර්ෂය,ඇවිදින්න,මුදුන
ශීර්ෂය,දිවයන්න,මුදුන
ශීර්ෂය,කන්න,මුදුන
ශීර්ෂය,බොන්න,මුදුන
ශීර්ෂය,බඩගාන්න,මුදුන
ශීර්ෂය,ලියන්න,මාතෘකාව
ශීර්ෂය,කියවන්න,මාතෘකාව
ශීර්ෂය,ලියවගන්න,මාතෘකාව
ශීර්ෂය,කියවගන්න,මාතෘකාව
ශීර්ෂය,කරන්න,මාතෘකාව
ශීර්ෂය,හරවන්න,හිස
ශීර්ෂය,පහත් කරන්න,හිස
ශීර්ෂය,වලදාන්න,හිස
ශීර්ෂය,බලන්න,හිස
ශීර්ෂය,මුඩුකරන්න,හිස
වස,ගෙවන්න,වර්ෂය
වස,ගෙවාගන්න,වර්ෂය
වස,පහුවෙන්න,වර්ෂය
වස,ආරම්බ කරන්න,වර්ෂය
වස,ඇරඹෙන්න,වර්ෂය
වස,පසුවෙන්න,වර්ෂය
වස,බොන්න,විෂ
වස,පොවන්න,විෂ
වස,කන්න,විෂ
වස,දෙන්න,විෂ
වස,ගන්න,විෂ
වස,විකුණන්න,විෂ
මුල,සිටවන්න,මුල
මුල,හිටවන්න,මුල
මුල,ගලවන්න,මුල
මුල,පැළකරන්න,මුල
මුල,වර්ධනය වෙන්න,මුල
මුල,වේළෙන්න,මුල
මුල,කන්න,මුල
මුල,බොන්න,මුල
මුල,වේළන්න,මුල
මුල,කවන්න,මුල
මුල,පොවන්න,මුල
මුල,පටන් ගන්න,ආරම්බයේ
මුල,අරඹන්න,ආරම්බයේ
මුල,කරන්න,ආරම්බයේ
මුල,යන්න,ආරම්බයේ
අත,දුවන්න,දිශාව
අත,පැනයන්න,දිශාව
අත,ඇවිදින්න,දිශාව
අත,යන්න,දිශාව
අත,එන්න,දිශාව
අත,පනින්න,දිශාව
අත,කඩන්න,අත
අත,දෙන්න,අත
අත,නවාගන්න,අත
අත,නවන්න,අත
අත,ගන්න,අත
අත,තබන්න,අත
අත,තියන්න,අත
අත,තුවාල වෙන්න,අත
අත,කැඩෙන්න,අත
අත,වනන්න,අත
අත,අල්ලන්න,අත
ලිය,එතෙන්න,වැල
ලිය,හිටවන්න,වැල
ලිය,සිටවන්න,වැල
ලිය,සිටුවන්න,වැල
ලිය,ඇවිදින්න,කාන්තාව
ලිය,නටන්න,කාන්තාව
ලිය,දුවන්න,කාන්තාව
ලිය,කතාකරන්න,කාන්තාව
ලිය,කියන්න,කාන්තාව
ලිය,යන්න,කාන්තාව
ලිය,කන්න,කාන්තාව
ලිය,බොන්න,කාන්තාව
අකුරු,ලියන්න,අක්ෂර
අකුරු,කියවන්න,අක්ෂර
අකුරු,ඉගෙනගන්න,අක්ෂර
අකුරු,ලියවන්න,අක්ෂර
අකුරු,උගන්වන්න,අක්ෂර
අකුරු,පැනනගින්න,අන්කුර
අකුරු,ගලවන්න,අන්කුර
අකුරු,සිටුවන්න,අන්කුර
අකුරු,හිටවන්න,අන්කුර
අකුරු,විදින්න,ගල්කැට
අකුරු,ගහන්න,ගල්කැට
අකුරු,පහරදෙන්න,ගල්කැට
අකුරු,විසිකරන්න,ගල්කැට
අකුරු,පැළකරන්න,අන්කුර
අකුරු,පැළවෙන්න,අන්කුර
අකුරු,බෝකරන්න,අන්කුර
අකුරු,බෝකරගන්න,අන්කුර
අකුරු,බෝවෙන්න,අන්කුර
දදය,දනවා,තුවාලය
දදය,දන්න ගන්න,තුවාලය
දදය,දන්න ගන්නවා,තුවාලය
දදය,සුවවෙන්න,තුවාලය
දදය,සුවවෙනවා,තුවාලය
දදය,ආසාධනය වෙන්න,තුවාලය
දදය,සුද්ද කරන්න,තුවාලය
දදය,ප්‍රතිකාර කරන්න,තුවාලය
කුප්පිය,බිදෙනවා,කුප්පිය
කුප්පිය,කුඩුවෙන්න,කුප්පිය
කුප්පිය,බිදෙන්න,කුප්පිය
කුප්පිය,බිදින්න,කුප්පිය
කුප්පිය,කුඩුකරන්න,කුප්පිය
කුප්පිය,තලන්න,කුප්පිය
කුප්පිය,තැලෙන්න,කුප්පිය
කුප්පිය,පලුදු වෙන්න,කුප්පිය
කුප්පිය,පලුදු කරන්න,කුප්පිය
ඉර,උදාවෙනවා,සූර්‍ය්යා
කුප්පිය,හීරෙන්න,කුප්පිය
කුප්පිය,වැක්කෙරෙන්න,කුප්පිය
කුප්පිය,වක්කරන්න,කුප්පිය
කුප්පිය,පුරවන්න,පුණරීක්ෂණ වැඩසටහන
කුප්පිය,හිස් කරන්න,පුණරීක්ෂණ වැඩසටහන
කුප්පිය,පවත්වන්න,පුණරීක්ෂණ වැඩසටහන
කුප්පිය,මගහරින්න,පුණරීක්ෂණ වැඩසටහන
කුප්පිය,මගහැරෙන්න,පුණරීක්ෂණ වැඩසටහන
තටුව,පියාඹන්න,පියාපත
තටුව,පියබන්න,පියාපත
තටුව,තුවාල වෙන්න,පියාපත
තටුව,ගසන්න,පියාපත
තටුව,පුදන්න,වට්ටිය
තටුව,පූජාකරන්න,වට්ටිය
