Verb,Noun,Replacement
சிந்தனை,காதலன்,நினைவு
சிந்தனை,நண்பன்,நினைவு
சிந்தனை,நண்பர்கள்,நினைவு
பணி,வேலையாட்கள்,தொண்டு
பணி,சேவகர்,தொண்டு
பணி,மாணவர்கள்,தொண்டு
பணி,சீடர்கள்,தொண்டு
பணி,நண்பர்கள்,தொண்டு
ஒளி,சந்திரன்,பிரகாசம்
ஒளி,விளக்கு,பிரகாசம்
ஒளி,நட்சத்திரம்,பிரகாசம்
ஒளி,நெருப்பு,பிரகாசம்
ஒளி,கண்,பிரகாசம்
அழகு,வதனம்,பொலிவு
அழகு,அரிசி,பொலிவு
அழகு,சிரிப்பு,பொலிவு
அழகு,சிறுவர்கள்,பொலிவு
அழகு,புகைப்படம்,பொலிவு
அடைக்கலம்,சீடன்,அபயம்
அடைக்கலம்,வேடன்,அபயம்
அடைக்கலம்,எதிரி,அபயம்
அடைக்கலம்,புறா,அபயம்
அடைக்கலம்,மான்,அபயம்
இறத்தல்,மான்,சாதல்
இறத்தல்,சிங்கம்,சாதல்
இறத்தல்,போர்வீரர்கள்,சாதல்
இறத்தல்,பாம்பு,சாதல்
இறத்தல்,முதியவர்,சாதல்
உருத்தல்,பிள்ளை,தோன்றல்
உருத்தல்,கரு,தோன்றல்
உருத்தல்,சூரியன்,தோன்றல்
உருத்தல்,நிலா,தோன்றல்
உருத்தல்,நட்சத்திரம்,தோன்றல்
ஊக்கம்,அப்பா,முயற்சி
ஊக்கம்,நான்,முயற்சி
ஊக்கம்,நண்பன்,முயற்சி
ஊக்கம்,சிலந்தி,முயற்சி
ஊக்கம்,அவர்கள்,முயற்சி
கவலை,அவன்,துன்பம்
கவலை,நான்,துன்பம்
கவலை,விளையாட்டு வீரன்,துன்பம்
கவலை,போர் வீர்ன்,துன்பம்
கவலை,அவர்கள்,துன்பம்
சிறை,நாய்,காவல்
சிறை,கைது,காவல்
சிறை,பிரதிவாதி,காவல்
சிறை,அவன்,காவல்
தபுதல்,உணவு,கெடுதல்
தபுதல்,பாண்,கெடுதல்
தபுதல்,பால்,கெடுதல்
தபுதல்,சோறு,கெடுதல்
தபுதல்,நீர்,கெடுதல்
துஞ்சல்,குழந்தை,உறங்கல்
துஞ்சல்,தம்பி,உறங்கல்
துஞ்சல்,நான்,உறங்கல்
துஞ்சல்,பாட்டி,உறங்கல்
துஞ்சல்,மாணவன்,உறங்கல்
நனவு,அவன்,தெளிவு
நனவு,அண்ணா,தெளிவு
நனவு,தம்பி,தெளிவு
நனவு,மாணவர்கள்,தெளிவு
நனவு,மக்கள்,தெளிவு
நேர்,மக்கள்,ஒத்தல்
நேர்,உறுப்பினர்கள்,ஒத்தல்
நேர்,வேட்பாளர்கள்,ஒத்தல்
நேர்,மாணவர்கள்,ஒத்தல்
நேர்,சேவகர்கள்,ஒத்தல்
பிறழ்தல்,மலை,பெயர்தல்
பிறழ்தல்,மண்,பெயர்தல்
பிறழ்தல்,வீடு,பெயர்தல்
பிறழ்தல்,கடல்,பெயர்தல்
பிறழ்தல்,கூரை,பெயர்தல்
புரிதல்,வேலை,செய்தல்
புரிதல்,சிலை,செய்தல்
புரிதல்,வீட்டு வேலை,செய்தல்
புரிதல்,கட்டிடம்,செய்தல்
புரிதல்,சிற்பம்,செய்தல்
போற்றல்,கிளி,பாதுகாத்தல்
போற்றல்,வீடு,பாதுகாத்தல்
போற்றல்,பிள்ளைகள்,பாதுகாத்தல்
போற்றல்,பெற்றோர்,பாதுகாத்தல்
போற்றல்,முதியவர்,பாதுகாத்தல்
மலர்தல்,பூ,தோன்றல்
மலர்தல்,வித்து,தோன்றல்
மலர்தல்,கரு,தோன்றல்
மலர்தல்,மல்லிகை,தோன்றல்
மலர்தல்,தாமரை,தோன்றல்
கூடு,நண்பர்கள்,ஒன்று சேர்தல்
கூடு,பழைய மாணவர்கள்,ஒன்று சேர்தல்
கூடு,பிராணிகள்,ஒன்று சேர்தல்
கூடு,எறும்பு,ஒன்று சேர்தல்
வழங்கல்,பரிசு,கொடுத்தல்
வழங்கல்,பதக்கம்,கொடுத்தல்
வழங்கல்,கொப்பி,கொடுத்தல்
வழங்கல்,புத்தகம்,கொடுத்தல்
வழங்கல்,மேசை,கொடுத்தல்
வீசுதல்,ஈட்டி,எறிதல்
அமர்,நான்,பொலிதல்
அமர்,அவள்,பொலிதல்
அமர்,அவள்,பொலிதல்
அமர்,ஆசிரியர்,பொலிதல்
ஏவல்,அரசன்,ஆணை
ஏவல்,தலைவர்,ஆணை
ஏவல்,அப்பா,ஆணை
ஏவல்,ஜனாதிபதி,ஆணை
ஆய்தல்,ஆய்வாளர்,தெரிதல்
ஆய்தல்,ஆசிரியர்,தெரிதல்
ஆய்தல்,அவர்கள்,தெரிதல்
ஆய்தல்,நான்,தெரிதல்
ஆர்தல்,அம்மா,நிறைதல்
ஆர்தல்,தீபா,நிறைதல்
ஆர்தல்,அக்கா,நிறைதல்
ஆலுதல்,தங்கை,ஆடல்
ஆலுதல்,நண்பி,ஆடல்
ஆலுதல்,அக்கா,ஆடல்
ஆலுதல்,நீங்கள்,ஆடல்
இரங்கல்,பாடகி,இசைத்தல்
இரங்கல்,பாடகன்,இசைத்தல்
இரங்கல்,அவன்,இசைத்தல்
இரங்கல்,ஆசிரியர்,இசைத்தல்
இரங்கல்,நான்,இசைத்தல்
அருகல்,முகம்,சுருங்கல்
அருகல்,பூ,சுருங்கல்
அருகல்,அம்மா,சுருங்கல்
அருகல்,சிறுமி,சுருங்கல்
இரு,மரம்,வீழ்
இரு,தேர்,வீழ்
இரு,வண்டி,வீழ்
இரு,கதிரை,வீழ்
இவர்தல்,சகோதரிகள்,சேறல்
இவர்தல்,நண்பர்,சேறல்
இவர்தல்,குடும்பம்,சேறல்
உணர்,பாடம்,தெளிவு
உணர்,நான்,தெளிவு
உணர்,ஆசிரியர்,தெளிவு
உணர்,அவர்கள்,கருது
உணர்,ஏழை,கருது
உரு,சூரியன்,தோன்றல்
உரு,நிலவு,தோன்றல்
உரு,நட்சத்திரம்,தோன்றல்
உழை,அப்பா,அறை
உழை,உழைப்பாளி,அறை
உழை,அண்ணா,அறை
உழை,தாய்,அறை
உழை,பெரியவர்,அறை
ஏற்று,பட்டம்,எறி
ஏற்று,குப்பை,எறி
ஏற்று,பந்து,எறி
ஏற்று,கொடி,எறி
ஏவு,மன்னன்,ஆணை
ஏவு,அதிபர்,ஆணை
ஏவு,படைத்தலைவன்,ஆணை
ஏணை,அவன்,ஒழிவு
ஏணை,அவள்,ஒழிவு
ஏணை,பொருள்,ஒழிவு
கடி,கட்டிடம்,புணர்
கடி,அமைப்பு,புணர்
கடி,வீடு,புணர்
கடி,பாடசாலை,புணர்
கரை,மக்கள்,கூவு
கரை,சேவல்,கூவு
கலித்தல்,அரசியல்,எழுச்சி
கலித்தல்,பாடசாலை,எழுச்சி
கழி,நாள்,கட
கழி,நேரம்,கட
கழி,பாதை,கட
குயிறல்,பொருள்,குடைதல்
குயிறல்,பானை,குடைதல்
குரை,மணி,ஒலி
குரை,சோதிடன்,ஒலி
குரை,மணி,ஒலி
சிறை,குற்றவாளி,காவல்
சிறை,பொலிஸ்,காவல்
சிறை,மணமகள்,ஒன்றுதல்
சீர்,மணமகன்,ஒன்றுதல்
தபுதல்,பழம்,கெடல்
தபுதல்,காய்க்கறி,கெடல்
தபுதல்,உணவு,கெடல்
தவல்,நீர்,குறைதல்
தவல்,வெள்ளம்,குறைதல்
துஞ்சல்,குழந்தை,உறங்கல்
துஞ்சல்,சிசு,உறங்கல்
துஞ்சல்,தாய்,உறங்கல்
துஞ்சல்,பாட்டி,உறங்கல்
தூங்கல்,அவன்,ஆடல்
தூங்கல்,குழந்தை,ஆடல்
நந்தல்,குற்றவாளி,கேடு
நந்தல்,நண்பன்,கேடு
நனவு,காதல்,உணர்ச்சி
நனவு,அவள்,உணர்ச்சி
நனவு,நட்பு,உணர்ச்சி
நனி,பூக்கள்,செறிவு
நனி,பானம்,செறிவு
நீவல்,அவள்,தடவல்
நீவல்,அம்மா,தடவல்
நேர்,ஆசிரியர்,ஒத்தல்
நேர்,அதிபர்,ஒத்தல்
நெய்,தையற்காரி,ஆம்பல்
நெய்,அவள்,ஆம்பல்
நெய்,தாய்,ஆம்பல்
நெய்,தங்கை,ஆம்பல்
நொறில்,விற்பனையாளர்,விரைவு
நொறில்,வாகனம்,விரைவு
படி,மாணவன்,பார்
படி,சிறுவன்,பார்
படி,தங்கை,பார்
படிவம்,அவள்,வடிவு
படிவம்,நண்பி,வடிவு
படை,நூல்,பயன்
படை,புத்தகம்,பயன்
பணை,நான்,பிழை
பணை,அவள்,பிழை
பணை,நோயாளி,பிழை
பரி,பொருள்,பாதுகாத்தல்
பரி,நகை,பாதுகாத்தல்
பரி,வீடு,பாதுகாத்தல்
பற்றல்,நண்பர்,தொடல்
பற்றல்,தோழி,தொடல்
பற்றல்,தாய்,தொடல்
பனி,தந்தை,அச்சம்
பனி,அதிபர்,அச்சம்
பனி,ஆசிரியர்,அச்சம்
பனி,அண்ணா,அச்சம்
பாங்கு,அம்மா,உரிமை
பாங்கு,அப்பா,உரிமை
பாங்கு,சகோதரன்,உரிமை
பாங்கு,நண்பன்,உரிமை
பாசம்,தாய்,ஆசை
பாசம்,மனைவி,ஆசை
பாசம்,மகள்,ஆசை
பாடு,அறிவாளி,பெருமை
பாடு,அவள்,பெருமை
பாடு,சித்தி,பெருமை
பாடு,அரசன்,பெருமை
போற்றல்,புலவன்,புகழ்தல்
போற்றல்,ஜனாபதி,புகழ்தல்
போற்றல்,ஆசிரியர்,புகழ்தல்
போற்றல்,மன்னன்,புகழ்தல்
போற்றல்,அதிபர்,புகழ்தல்
மலர்,மலர்,விரி
மலர்,பாய்,விரி
மலைதல்,அவன்,பொருதல்
மலைதல்,பெற்றோர்,பொருதல்
மனு,பிக்கு,ஒப்பு
மனு,அமைச்சர்,ஒப்பு
முருகு,ஆசிரியர்,நறை
முருகு,அதிபர்,நறை
முற்று,கண்ணாடி,வளை
முற்று,வளையல்,வளை
முனை,மேசை,நுணி
முனை,கதிரை,நுணி
முனை,பென்சில்,நுணி
வரை,கலை,கொள்ளல்
வரை,சித்திரம்,கொள்ளல்
வரை,ஓவியம்,கொள்ளல்
வரை,ஆக்கம்,கொள்ளல்
விறப்பு,எழுத்து,செறிவு
விறப்பு,பணம்,செறிவு
வெறி,அவள்,ஆடல்
வெறி,நடிகை,ஆடல்
வெறி,நாடகி,ஆடல்
வேலி,வீடு,காவல்
வேலி,கட்டிடம்,காவல்
வேலி,மனை,காவல்
வேலி,பாடசாலை,காவல்
