Verb,Noun,Replacement
වැහිච්ච,මැරුණු,ආරූඪ වුණු
වැහිච්ච,මැරිච්ච,ආරූඪ වුණු
වැහිච්ච,දොර,වැහිච්ච
වැහිච්ච,ගේට්ටුව,වැහිච්ච
වැහිච්ච,ගොඩනැගිල්ල,වැහිච්ච
වැහිච්ච,ආයතනය,වැහිච්ච
වැහිලා,හොල්මන,ආරූඪ වී
වැහිලා,හොල්මන්,ආරූඪ වී
වැහිලා,යකා,ආරූඪ වී
වැහිලා,යක්කු,ආරූඪ වී
වැහිලා,පෙරේතයා,ආරූඪ වී
වැහිලා,බූතයා,ආරූඪ වී
වැහිලා,ආත්මය,ආරූඪ වී
වැහිලා,ප්‍රේත,ආරූඪ වී
වැහිලා,මියගිය,ආරූඪ වී
වැහිලා,මැරුණු,ආරූඪ වී
වැහිලා,මැරිච්ච,ආරූඪ වී
වැහිලා,දොර,වැහිලා
වැහිලා,ගේට්ටුව,වැහිලා
වැහිලා,ගොඩනැගිල්ල,වැහිලා
වැහිලා,ආයතනය,වැහිලා
එළිවෙන්න,ඇත්ත,හෙළි දරව් වෙන්න
එළිවෙන්න,සත්‍ය,හෙළි දරව් වෙන්න
එළිවෙන්න,බොරු,හෙළි දරව් වෙන්න
එළිවෙන්න,හැමදේම,හෙළි දරව් වෙන්න
එළිවෙන්න,රහස්,හෙළි දරව් වෙන්න
එළිවෙන්න,අතීතය,හෙළි දරව් වෙන්න
එළිවෙන්න,හොර වැඩ,හෙළි දරව් වෙන්න
එළිවෙන්න,හොරා,හෙළි දරව් වෙන්න
එළිවෙන්න,දූෂණ,හෙළි දරව් වෙන්න
එළිවෙන්න,වන්චා,හෙළි දරව් වෙන්න
එළිවෙන්න,මගඩි,හෙළි දරව් වෙන්න
එළිකරන්න,ඇත්ත,හෙළි කරන්න
එළිකරන්න,සත්‍ය,හෙළි කරන්න
එළිකරන්න,බොරු,හෙළි කරන්න
එළිකරන්න,හැමදේම,හෙළි කරන්න
එළිකරන්න,රහස්,හෙළි කරන්න
එළිකරන්න,අතීතය,හෙළි කරන්න
එළිකරන්න,හොර වැඩ,හෙළි කරන්න
එළිකරන්න,හොරා,හෙළි කරන්න
එළිකරන්න,දූෂණ,හෙළි කරන්න
එළිකරන්න,වන්චා,හෙළි කරන්න
එළිකරන්න,මගඩි,හෙළි කරන්න
